NI_ID,Food group,Food,Correction Factor  (%),Correction Factor SD,Species,Sample Location,Protein Form,Calculation,Model,Protein (g),n,Analysis method(s),Data Collection Source,Original Data Source(s),Notes,Diet
PRO_00001,Cereals and grain products,"Buckwheat, Decorticated, cooked and dried at 50°C",82.7,,rat,fecal,crude protein,true digestibility,in vivo,10,10,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24 [Internet dataset]. 1970 [accessed 2024 Jan 23]. Available from: https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Dreyer, J. J. 1963 Personal communication.",,
PRO_00002,Cereals and grain products,"Buckwheat, Average",82.7,,rat,fecal,crude protein,true digestibility,in vivo,,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24 [Internet dataset]. 1970 [accessed 2024 Jan 23]. Available from: https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Dreyer, J. J. 1963 Personal communication.",,
PRO_00003,Cereals and grain products,"Maize, Whole",90.9,,rat,fecal,crude protein,true digestibility,in vivo,10,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24 [Internet dataset]. 1970 [accessed 2024 Jan 23]. Available from: https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Mitchell, H. H. 1924 The biological value of proteins at different levels of intake. J. biol. Chem., 58: 905-922.",,
PRO_00004,Cereals and grain products,"Maize, Whole",88.1,,rat,fecal,crude protein,true digestibility,in vivo,,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24 [Internet dataset]. 1970 [accessed 2024 Jan 23]. Available from: https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Muelenaere, H. J. H. 1963 Personal communication.",,
PRO_00005,Cereals and grain products,"Maize, Whole",85.9,,rat,fecal,crude protein,true digestibility,in vivo,,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24 [Internet dataset]. 1970 [accessed 2024 Jan 23]. Available from: https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Muelenaere, H. J. H. 1963 Personal communication.",,
PRO_00006,Cereals and grain products,"Maize, Whole",86.7,,rat,fecal,crude protein,true digestibility,in vivo,,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24 [Internet dataset]. 1970 [accessed 2024 Jan 23]. Available from: https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Muelenaere, H. J. H. 1963 Personal communication.",,
PRO_00007,Cereals and grain products,"Maize, Porridge, dried at 50°C",100,,rat,fecal,crude protein,true digestibility,in vivo,10,10,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24 [Internet dataset]. 1970 [accessed 2024 Jan 23]. Available from: https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Dreyer, J. J. 1963 Personal communication.",,
PRO_00008,Cereals and grain products,"Maize, Average",90.3,,rat,fecal,crude protein,true digestibility,in vivo,,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24 [Internet dataset]. 1970 [accessed 2024 Jan 23]. Available from: https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Bressani, R., Valiente, A. T. & Tejada, C. E. 1962 All-vegetable protein mixtures for human feeding. VI. The value of combinations of lime-treated corn and cooked black beans. J. Fd Sci., 27: 394-400.",,
PRO_00009,Cereals and grain products,"Maize germ, cooked and dried at 50°C",80.8,,rat,fecal,crude protein,true digestibility,in vivo,10,10,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24 [Internet dataset]. 1970 [accessed 2024 Jan 23]. Available from: https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Dreyer, J. J. 1963 Personal communication.",,
PRO_00010,Cereals and grain products,"Rice, whole",96.5,,rat,fecal,crude protein,true digestibility,in vivo,5.5,4,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24 [Internet dataset]. 1970 [accessed 2024 Jan 23]. Available from: https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Kik, M. C. 1942 Nutritive studies of rice and its by-products. Fayetteville, Arkansas Agricultural Experiment Station. Bulletin No. 416. 28 p.",,
PRO_00011,Cereals and grain products,Rice germ,86.9,,rat,fecal,crude protein,true digestibility,in vivo,5.7,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24 [Internet dataset]. 1970 [accessed 2024 Jan 23]. Available from: https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Kik, M. C. 1954 Nutritive value of rice germ. J. agric. Fd Chem., 2: 1179-1181.",,
PRO_00012,Cereals and grain products,"Rice, Polished",98.9,,rat,fecal,crude protein,true digestibility,in vivo,5.5,5,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24 [Internet dataset]. 1970 [accessed 2024 Jan 23]. Available from: https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Kik, M. C. 1942 Nutritive studies of rice and its by-products. Fayetteville, Arkansas Agricultural Experiment Station. Bulletin No. 416. 28 p.",,
