Food group,Food,Protein (g),Diet,Species,n,Model,Sample,Measure,Analyte,Value (%),SD,Analysis method,Collected From,Original Source,Notes
Cereals and grain products,"Maize, Decorticated, cooked and dried at 50°C",10,,rat,10,in vivo,fecal,true digestibility,crude protein,82.7,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Dreyer, J. J. 1963 Personal communication.",
Cereals and grain products,"Maize, Average",,,rat,,in vivo,fecal,true digestibility,crude protein,82.7,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Dreyer, J. J. 1963 Personal communication.",
Cereals and grain products,"Maize opaque-2, Whole",10,,rat,,in vivo,fecal,true digestibility,crude protein,90.9,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Mitchell, H. H. 1924 The biological value of proteins at different levels of intake. J. biol. Chem., 58: 905-922.",
Cereals and grain products,"Maize opaque-2, Whole",,,rat,,in vivo,fecal,true digestibility,crude protein,88.1,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Muelenaere, H. J. H. 1963 Personal communication.",
Cereals and grain products,"Maize opaque-2, Whole",,,rat,,in vivo,fecal,true digestibility,crude protein,85.9,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Muelenaere, H. J. H. 1963 Personal communication.",
Cereals and grain products,"Maize opaque-2, Whole",,,rat,,in vivo,fecal,true digestibility,crude protein,86.7,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","De Muelenaere, H. J. H. 1963 Personal communication.",
Cereals and grain products,"Maize opaque-2, Porridge, dried at 50°C",10,,rat,10,in vivo,fecal,true digestibility,crude protein,100,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Dreyer, J. J. 1963 Personal communication.",
Cereals and grain products,"Maize opaque-2, Average",,,rat,,in vivo,fecal,true digestibility,crude protein,90.3,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Bressani, R., Valiente, A. T. & Tejada, C. E. 1962 All-vegetable protein mixtures for human feeding. VI. The value of combinations of lime-treated corn and cooked black beans. J. Fd Sci., 27: 394-400.",
Cereals and grain products,"Sorghum, Rice, whole",5.5,,rat,4,in vivo,fecal,true digestibility,crude protein,96.5,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Kik, M. C. 1942 Nutritive studies of rice and its by-products. Fayetteville, Arkansas Agricultural Experiment Station. Bulletin No. 416. 28 p.",
Cereals and grain products,"Sorghum, Rice germ",5.7,,rat,,in vivo,fecal,true digestibility,crude protein,86.9,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Kik, M. C. 1954 Nutritive value of rice germ. J. agric. Fd Chem., 2: 1179-1181.",
Cereals and grain products,"Sorghum, Polished",5.5,,rat,5,in vivo,fecal,true digestibility,crude protein,98.9,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Kik, M. C. 1942 Nutritive studies of rice and its by-products. Fayetteville, Arkansas Agricultural Experiment Station. Bulletin No. 416. 28 p.",
Cereals and grain products,"Sorghum, Polished",5.7,,rat,,in vivo,fecal,true digestibility,crude protein,96.9,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Kik, M. C. 1954 Nutritive value of rice germ. J. agric. Fd Chem., 2: 1179-1181.",
Cereals and grain products,"Sorghum, Average",,,rat,,in vivo,fecal,true digestibility,crude protein,97.9,,classical Thomas-Mitchell method ,"Food Policy and Food Science Service, Nutrition Division, FAO. (1970). AMINO-ACID CONTENT OF FOODS AND BIOLOGICAL DATA ON PROTEINS: FAO Food and Nutrition Series No. 21/24. FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS. https://www.fao.org/3/AC854T/AC854T00.htm#TOC","Kik, M. C. 1954 Nutritive value of rice germ. J. agric. Fd Chem., 2: 1179-1181.",
