fdcId,portion,g_weight
167634,3 oz,85.05
167636,1 piece,186
167638,3 oz,85.05
167639,3 oz,85.05
167642,3 oz,85.05
167643,3 oz,85.05
167645,3 oz,85.05
167647,3 oz,85.05
167648,3 oz,85.05
167649,3 oz,85.05
167650,3 oz,85.05
167651,3 oz,85.05
167652,3 oz,85.05
167653,1 oz,28.35
167654,3 oz,85.05
168020,3 oz,85.05
168038,1/4 cup,30.5
168039,1/4 cup,30.5
168041,1 slice,29
168043,1 serving,411
168044,1 serving,303
168045,3 oz,85.05
168046,3 oz,85.05
168051,3 oz,85.05
168052,3 oz,85.05
168053,3 oz,85.05
168055,3 oz,85.05
168056,3 oz,85.05
168057,3 oz,85.05
168061,1 serving,303
169795,3 oz,85.05
169812,3 oz,85.05
169814,not provided,100
168975,4 tbsp,18
170941,1 jar (4 oz),113
170964,0.5 oz,15
170965,0.5 oz,15
170966,1 jar,113
170967,1 jar,170
170969,0.5 oz,15
170970,1 jar,113
170971,1 jar,113
170974,0.5 oz,15
170977,1 jar,113
170989,1 jar,113
170998,1 bottle,140
170999,1 jar,113
171001,4 biscuits,8
171334,1 jar,170
171361,0.5 oz,15
171362,1 jar,113
171363,1 jar,170
171364,1 jar,170
172246,1 jar,113
172247,1 jar,113
172248,1 jar,170
172249,1 jar,71
172250,1 jar,113
172252,not provided,7
172255,1 jar,113
172260,1 jar,170
172262,1 jar,170
172270,1 jar,170
172271,1 jar,113
172272,1 jar,170
172276,1 jar,113
172277,1 jar,170
172280,1 jar,113
172283,1 jar,170
172284,1 jar,113
172296,1 oz,28.35
172297,1 oz,28.35
172299,1 oz,28.35
172317,1 jar,113
173477,1 bar,36
173478,1 packet,28
173480,1 jar,170
173482,1 jar,170
173483,1 jar,113
173484,1 jar,170
173485,1 bar,9.9
173486,1 jar,71
173487,1 serving,99
173489,1 jar,170
173491,1 jar,170
173493,1 jar,170
173494,1 jar,113
173495,1 jar,170
173497,1 jar,170
173505,1 jar,113
173506,1 jar,113
173507,1 jar,170
173515,1 jar,113
173516,1 jar,170
173520,1 serving,7
