Pattern Name,Analyte,Amount,Unit,Age,Age interval (years),Notes,Reference
AI for infants,histidine,36,mg/kg/d,0-6 months,"[0,0.5]",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
AI for infants,isoleucine,88,mg/kg/d,0-6 months,"[0,0.5]",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
AI for infants,leucine,156,mg/kg/d,0-6 months,"[0,0.5]",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
AI for infants,lysine,107,mg/kg/d,0-6 months,"[0,0.5]",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
AI for infants,methionine+cysteine,59,mg/kg/d,0-6 months,"[0,0.5]",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
AI for infants,phenylalanine+tyrosine,135,mg/kg/d,0-6 months,"[0,0.5]",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
AI for infants,threonine,73,mg/kg/d,0-6 months,"[0,0.5]",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
AI for infants,tryptophan,28,mg/kg/d,0-6 months,"[0,0.5]",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
AI for infants,valine,87,mg/kg/d,0-6 months,"[0,0.5]",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Adults,histidine,11,mg/kg/d,19 years and older,"[19, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Adults,isoleucine,15,mg/kg/d,19 years and older,"[19, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Adults,leucine,34,mg/kg/d,19 years and older,"[19, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Adults,lysine,31,mg/kg/d,19 years and older,"[19, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Adults,methionine+cysteine,15,mg/kg/d,19 years and older,"[19, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Adults,phenylalanine+tyrosine,27,mg/kg/d,19 years and older,"[19, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Adults,threonine,16,mg/kg/d,19 years and older,"[19, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Adults,tryptophan,4,mg/kg/d,19 years and older,"[19, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Adults,valine,19,mg/kg/d,19 years and older,"[19, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Adults,histidine,14,mg/kg/d,19 years and older,"[19, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Adults,isoleucine,19,mg/kg/d,19 years and older,"[19, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Adults,leucine,42,mg/kg/d,19 years and older,"[19, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Adults,lysine,38,mg/kg/d,19 years and older,"[19, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Adults,methionine+cysteine,19,mg/kg/d,19 years and older,"[19, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Adults,phenylalanine+tyrosine,33,mg/kg/d,19 years and older,"[19, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Adults,threonine,20,mg/kg/d,19 years and older,"[19, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Adults,tryptophan,5,mg/kg/d,19 years and older,"[19, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Adults,valine,24,mg/kg/d,19 years and older,"[19, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
